
Iterations = 1:4996
Thinning interval = 5 
Number of chains = 3 
Sample size per chain = 1000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

              Mean        SD  Naive SE Time-series SE
a[117]   3.893e+06  3.893e+06  3.893e+06  3.893e+06  3.893e+06
a[118]   3.950e+06  3.950e+06  3.950e+06  3.950e+06  3.950e+06
a[119]   4.474e+06  4.474e+06  4.474e+06  4.474e+06  4.475e+06
a[120]   4.860e+06  4.860e+06  4.860e+06  4.860e+06  4.861e+06
a[121]   3.019e+06  3.019e+06  3.019e+06  3.019e+06  3.019e+06
a[122]   2.897e+06  2.897e+06  2.897e+06  2.897e+06  2.897e+06
a[123]   9.674e+06  9.674e+06  9.674e+06  9.674e+06  9.674e+06
a[124]   4.133e+06  4.133e+06  4.133e+06  4.133e+06  4.134e+06
a[125]   8.601e+06  8.601e+06  8.601e+06  8.601e+06  8.601e+06
a[126]   5.514e+06  5.514e+06  5.514e+06  5.514e+06  5.514e+06
a[127]   5.494e+06  5.495e+06  5.495e+06  5.495e+06  5.495e+06
a[128]   5.222e+06  5.222e+06  5.222e+06  5.222e+06  5.222e+06
a[129]   5.546e+06  5.546e+06  5.546e+06  5.546e+06  5.546e+06
a[130]   1.102e+06  1.102e+06  1.102e+06  1.102e+06  1.102e+06
a[131]   3.815e+06  3.815e+06  3.815e+06  3.815e+06  3.815e+06
a[132]   1.619e+06  1.619e+06  1.619e+06  1.619e+06  1.619e+06
